,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dover AFB,DVD,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Washington ,WAS,"6,498","5,092",415,"17,433",17,11,D,60,"6,515","5,103",416,"17,493"
,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Fort Meyers,OFM,"1,390",450,106,"3,487",D,D,0,D,"1,392",452,106,"3,495"
,,,,,,,,,,,,,,
,Hialeah,HIA,"3,897","2,774",338,"12,946",D,D,0,13,"3,905","2,775",338,"12,959"
,,,,,,,,,,,,,,
,Jacksonville,JAC,"1,717","1,153",128,"4,587",13,32,0,41,"1,730","1,185",128,"4,628"
,,,,,,,,,,,,,,
,Kendall,KND,"3,811","3,475",271,"12,397",D,D,0,11,"3,814","3,476",271,"12,408"
,,,,,,,,,,,,,,
,Miami ,MIA,"3,753","1,452",224,"14,207",D,D,D,D,"3,754","1,453",225,"14,214"
,,,,,,,,,,,,,,
,Oakland Park,OKL,"4,064","1,834",253,"13,806",D,D,D,18,"4,073","1,839",254,"13,824"
,,,,,,,,,,,,,,
,Orlando ,ORL,"3,495","1,569",359,"10,917",D,0,D,16,"3,499","1,569",360,"10,933"
,,,,,,,,,,,,,,
,Tampa ,TAM,"3,417","1,629",267,"11,240",D,D,D,22,"3,425","1,631",269,"11,262"
,,,,,,,,,,,,,,
,West Palm Beach,WPB,"2,895","1,921",363,"8,254",D,D,D,11,"2,901","1,923",366,"8,265"
,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Atlanta ,ATL,"7,901","3,360",275,"22,236",370,91,18,102,"8,271","3,451",293,"22,338"
,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Honolulu ,HHW,"1,166",780,65,"3,091",12,14,D,43,"1,178",794,67,"3,134"
,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Boise ,BOI,612,349,19,"1,304",D,D,0,D,613,352,19,"1,306"
,,,,,,,,,,,,,,
Illinois,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Chicago ,CHI,"10,966","6,433",682,"24,113",352,110,41,123,"11,318","6,543",723,"24,236"
,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Indianapolis ,INP,"1,962","1,278",106,"4,165",D,D,0,D,"1,965","1,282",106,"4,174"
,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Des Moines,DSM,"1,100",649,95,"3,153",D,D,0,10,"1,101",651,95,"3,163"
,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Wichita,WIC,482,325,14,"1,039",D,D,0,D,483,326,14,"1,040"
,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Louisville ,LOU,"1,201",946,106,"2,753",D,14,0,23,"1,204",960,106,"2,776"
,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,New Orleans ,NOL,"1,154",683,116,"3,476",D,D,D,38,"1,163",692,118,"3,514"
,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Portland ,POM,306,154,D,554,D,0,0,D,307,154,D,557
,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Baltimore ,BAL,"6,735","7,260",192,"14,494",22,D,D,73,"6,757","7,268",195,"14,567"
,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Boston ,BOS,"5,676","3,184",292,"14,668",11,0,0,24,"5,687","3,184",292,"14,692"
,,,,,,,,,,,,,,
,Lawrence,LAW,"2,571","1,637",178,"6,406",D,D,0,12,"2,575","1,640",178,"6,418"
,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Detroit ,DET,"4,657","3,069",351,"10,974",D,D,D,20,"4,665","3,078",356,"10,994"
,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,St. Paul ,SPM,"4,416","3,065",330,"12,557",19,10,D,41,"4,435","3,075",332,"12,598"
,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Kansas City ,KAN,"1,519","1,331",73,"3,273",16,16,D,72,"1,535","1,347",76,"3,345"
,,,,,,,,,,,,,,
,St. Louis ,STL,"1,174",832,126,"2,823",D,D,D,16,"1,180",833,127,"2,839"
,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Helena ,HEL,96,111,D,154,0,D,0,D,96,113,D,155
,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Omaha ,OMA,"1,052",728,144,"2,229",D,D,D,D,"1,056",731,145,"2,235"
,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Las Vegas ,LVG,"2,735",944,156,"8,302",D,D,D,18,"2,741",949,157,"8,320"
,,,,,,,,,,,,,,
,Reno ,REN,560,289,21,"1,157",0,0,0,D,560,289,21,"1,158"
,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Manchester ,MAN,592,432,43,"1,164",D,0,D,D,593,432,45,"1,169"
,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Mount Laurel,MTL,"2,844","1,488",132,"6,517",D,D,0,18,"2,847","1,489",132,"6,535"
,,,,,,,,,,,,,,
,Newark ,NEW,"11,677","7,616",790,"29,927",27,D,D,49,"11,704","7,620",791,"29,976"
,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Albuquerque ,ABQ,738,494,48,"1,535",D,0,D,D,740,494,49,"1,541"
,,,,,,,,,,,,,,
New York,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Albany ,ALB,838,608,107,"2,054",D,0,D,D,844,608,108,"2,063"
,,,,,,,,,,,,,,
,Buffalo ,BUF,"1,538","1,084",151,"3,594",D,D,0,30,"1,544","1,087",151,"3,624"
,,,,,,,,,,,,,,
,Long Island,LNY,"6,979","2,953",508,"21,246",D,D,D,25,"6,988","2,961",509,"21,271"
,,,,,,,,,,,,,,
,New York ,NYC,"16,753","6,599","1,400","54,770",23,40,D,45,"16,776","6,639","1,401","54,815"
,,,,,,,,,,,,,,
,Queens,QNS,"6,070","3,108",341,"17,812",11,D,D,15,"6,081","3,112",342,"17,827"
,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Charlotte ,CLT,"2,654","1,559",130,"6,061",D,0,0,16,"2,660","1,559",130,"6,077"
,,,,,,,,,,,,,,
,Raleigh,RAL,"2,403","1,694",124,"4,533",14,19,0,87,"2,417","1,713",124,"4,620"
,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cincinnati ,CIN,"1,041",934,77,"1,765",D,D,D,14,"1,046",942,78,"1,779"
,,,,,,,,,,,,,,
,Cleveland ,CLE,"1,405","1,240",95,"2,636",D,D,0,11,"1,407","1,245",95,"2,647"
,,,,,,,,,,,,,,
,Columbus,CLM,"1,733",747,102,"3,862",D,0,0,15,"1,739",747,102,"3,877"
,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Oklahoma City ,OKC,"1,194",675,79,"3,206",310,78,0,307,"1,504",753,79,"3,513"
,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Portland ,POO,"2,927","2,217",110,"5,576",D,D,D,13,"2,933","2,218",111,"5,589"
,,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Philadelphia,PHI,"6,322","3,144",307,"16,219",15,D,0,54,"6,337","3,148",307,"16,273"
,,,,,,,,,,,,,,
,Pittsburgh ,PIT,"1,007",689,45,"2,119",D,0,0,12,"1,012",689,45,"2,131"
,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Providence ,PRO,898,856,132,"2,118",D,D,0,13,902,860,132,"2,131"
,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Charleston ,CHL,774,657,39,"1,943","1,301",115,20,201,"2,075",772,59,"2,144"
,,,,,,,,,,,,,,
,Greer,GRR,550,545,47,816,D,155,24,556,554,700,71,"1,372"
,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Memphis ,MEM,"2,353",965,117,"6,704",10,D,0,18,"2,363",969,117,"6,722"
,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dallas ,DAL,"9,996","2,989",540,"27,053",33,18,D,61,"10,029","3,007",545,"27,114"
,,,,,,,,,,,,,,
,El Paso ,ELP,"2,476","2,000",143,"5,816",D,23,0,20,"2,480","2,023",143,"5,836"
,,,,,,,,,,,,,,
,Harlingen ,HLG,"1,788",978,104,"4,861",D,D,0,D,"1,791",979,104,"4,866"
,,,,,,,,,,,,,,
,Houston ,HOU,"10,072","4,051",439,"28,028",28,11,11,41,"10,100","4,062",450,"28,069"
,,,,,,,,,,,,,,
,San Antonio ,SNA,"5,323","3,997",231,"11,927",210,137,D,598,"5,533","4,134",238,"12,525"
,,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Salt Lake City ,SLC,"1,729",785,62,"4,195",D,D,0,10,"1,736",790,62,"4,205"
,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,St. Albans ,STA,254,209,11,501,D,0,0,D,255,209,11,502
,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Norfolk ,NOR,"1,645","1,131",56,"4,376",13,137,D,297,"1,658","1,268",58,"4,673"
,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seattle ,SEA,"6,072","3,822",223,"12,480",22,25,D,72,"6,094","3,847",225,"12,552"
,,,,,,,,,,,,,,
,Spokane ,SPO,336,280,12,567,D,0,0,D,338,280,12,570
,,,,,,,,,,,,,,
,Yakima,YAK,635,652,59,"1,152",0,D,0,0,635,654,59,"1,152"
,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Milwaukee ,MIL,"1,525",829,105,"3,634",D,0,0,14,"1,530",829,105,"3,648"
,,,,,,,,,,,,,,
Field Office by Territory6,,, , , , , , , , , , , , 
,,,,,,,,,,,,,,
,,, , , , , , , , , , , , 
,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hagatna,AGA,283,264,17,623,D,D,D,D,285,265,18,627
,,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,123,147,27,206,D,D,0,D,124,148,27,208
,,,,,,,,,,,,,,
,Christiansted ,CHR,48,34,D,195,0,D,0,D,48,35,D,196
,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Juan ,SAJ,610,527,85,"2,415",0,D,0,0,610,528,85,"2,415"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool,  March 2017",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,
,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Beijing,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Guangzhou,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Havana,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Santo Domingo,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Salvador,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Frankfurt,, N/A , N/A , N/A , N/A ,24,16, -   ,18,24,16, -   ,18
,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Accra,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Athens,, N/A , N/A , N/A , N/A ,D,D, -   ,D, D , D , -   , D 
,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Guatemala City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Port-au-Prince,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,New Delhi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Rome,, N/A , N/A , N/A , N/A ,D,18, -   ,D, D ,18, -   , D 
,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Amman,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nairobi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ciudad Juarez,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Mexico City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Monterrey,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lima,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Manila,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Moscow,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Johannesburg,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seoul,, N/A , N/A , N/A , N/A ,58,31, -   ,59,58,31, -   ,59
,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Bangkok,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,London,, N/A , N/A , N/A , N/A ,10,D, -   ,D,10, D , -   , D 
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations are included in ""Naturalization."" International USCIS field offices ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 only accept N-400s from applicants whose elibility relies on service in the U.S. armed forces. Total includes both general and military naturalization. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT),  April 2017; Department of Homeland Security, U.S. Citizenship and Immigration Services, ",,,,,,,,,,,,,,
