,field_office,Applications Received2,Approved3,Denied4,Pending5,quarter,state,code,year,fy
47,Santa Ana,"3,673","3,223",294,"6,549","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SAA,2013.0,FY 2013
51,Denver,"1,976","1,685",174,"4,004","FY 2013, 4th Q, July 1- Sept. 30, 2013",Colorado,DEN,2013.0,FY 2013
55,Hartford,"2,136","2,703",362,"4,335","FY 2013, 4th Q, July 1- Sept. 30, 2013",Connecticut,HAR,2013.0,FY 2013
59,Dover AFB, -   , -   , -   , -   ,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Delaware,DVD,2013.0,FY 2013
63,Washington,"4,316","5,691",436,"7,936","FY 2013, 4th Q, July 1- Sept. 30, 2013",District of Columbia,WAS,2013.0,FY 2013
67,Hialeah,"3,113","2,999",351,"5,475","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,HIA,2013.0,FY 2013
69,Jacksonville,"1,080","1,115",84,"1,725","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,JAC,2013.0,FY 2013
71,Kendall,"3,047","3,318",316,"4,123","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,KND,2013.0,FY 2013
73,Miami,"3,193","3,349",495,"6,039","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,MIA,2013.0,FY 2013
75,Oakland Park,"3,012","3,607",471,"5,818","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,OKL,2013.0,FY 2013
77,Orlando,"2,518","4,185",639,"4,368","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,ORL,2013.0,FY 2013
79,Tampa,"2,902","3,230",468,"5,224","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,TAM,2013.0,FY 2013
81,West Palm Beach,"1,930","2,349",386,"3,338","FY 2013, 4th Q, July 1- Sept. 30, 2013",Florida,WPB,2013.0,FY 2013
85,Atlanta,"4,908","6,929",700,"8,593","FY 2013, 4th Q, July 1- Sept. 30, 2013",Georgia,ATL,2013.0,FY 2013
89,Honolulu,882,855,109,"1,410","FY 2013, 4th Q, July 1- Sept. 30, 2013",Hawaii,HHW,2013.0,FY 2013
93,Boise,317,390,56,446,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Idaho,BOI,2013.0,FY 2013
97,Chicago,"6,755","9,548",620,"13,423","FY 2013, 4th Q, July 1- Sept. 30, 2013",Illinois,CHI,2013.0,FY 2013
101,Indianapolis,"1,021","1,126",92,"1,462","FY 2013, 4th Q, July 1- Sept. 30, 2013",Indiana,INP,2013.0,FY 2013
105,Des Moines,533,678,50,712,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Iowa,DSM,2013.0,FY 2013
109,Wichita,302,363,24,456,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Kansas,WIC,2013.0,FY 2013
113,Louisville,746,654,89,"1,061","FY 2013, 4th Q, July 1- Sept. 30, 2013",Kentucky,LOU,2013.0,FY 2013
117,New Orleans,883,726,87,"1,796","FY 2013, 4th Q, July 1- Sept. 30, 2013",Louisiana,NOL,2013.0,FY 2013
121,Portland,249,182,12,397,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Maine,POO,2013.0,FY 2013
125,Baltimore,"4,245","4,891",365,"8,982","FY 2013, 4th Q, July 1- Sept. 30, 2013",Maryland,BAL,2013.0,FY 2013
129,Boston,"3,965","4,139",406,"7,155","FY 2013, 4th Q, July 1- Sept. 30, 2013",Massachusetts,BOS,2013.0,FY 2013
131,Lawrence,"1,655","1,807",207,"3,115","FY 2013, 4th Q, July 1- Sept. 30, 2013",Massachusetts,LAW,2013.0,FY 2013
135,Detroit,"3,121","3,337",329,"5,858","FY 2013, 4th Q, July 1- Sept. 30, 2013",Michigan,DET,2013.0,FY 2013
139,St. Paul,"2,931","3,926",379,"4,086","FY 2013, 4th Q, July 1- Sept. 30, 2013",Minnesota,SPM,2013.0,FY 2013
143,Kansas City,845,"1,163",60,"1,209","FY 2013, 4th Q, July 1- Sept. 30, 2013",Missouri,KAN,2013.0,FY 2013
145,St. Louis,710,970,52,798,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Missouri,STL,2013.0,FY 2013
149,Helena,55,79, D ,82,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Montana,HEL,2013.0,FY 2013
153,Omaha,642,868,88,871,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Nebraska,OMA,2013.0,FY 2013
157,Las Vegas,"1,617","1,558",191,"2,855","FY 2013, 4th Q, July 1- Sept. 30, 2013",Nevada,LVG,2013.0,FY 2013
159,Reno,289,257,24,450,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Nevada,REN,2013.0,FY 2013
163,Manchester,382,584,19,522,"FY 2013, 4th Q, July 1- Sept. 30, 2013",New Hampshire,MAN,2013.0,FY 2013
167,Mount Laurel,"1,603","1,806",131,"2,539","FY 2013, 4th Q, July 1- Sept. 30, 2013",New Jersey,MTL,2013.0,FY 2013
169,Newark,"7,257","8,500",849,"10,592","FY 2013, 4th Q, July 1- Sept. 30, 2013",New Jersey,NEW,2013.0,FY 2013
173,Albuquerque,412,448,28,621,"FY 2013, 4th Q, July 1- Sept. 30, 2013",New Mexico,ABQ,2013.0,FY 2013
177,Albany,564,591,58,922,"FY 2013, 4th Q, July 1- Sept. 30, 2013",New York,ALB,2013.0,FY 2013
179,Buffalo,937,878,104,"1,719","FY 2013, 4th Q, July 1- Sept. 30, 2013",New York,BUF,2013.0,FY 2013
181,Long Island,"4,593","5,873",499,"9,041","FY 2013, 4th Q, July 1- Sept. 30, 2013",New York,LNY,2013.0,FY 2013
183,New York,"12,316","15,530","3,188","27,654","FY 2013, 4th Q, July 1- Sept. 30, 2013",New York,NYC,2013.0,FY 2013
185,Queens,"4,604","4,980",848,"8,460","FY 2013, 4th Q, July 1- Sept. 30, 2013",New York,QNS,2013.0,FY 2013
189,Charlotte,"1,377","1,545",114,"1,913","FY 2013, 4th Q, July 1- Sept. 30, 2013",North Carolina,CLT,2013.0,FY 2013
191,Raleigh,"1,270","1,321",60,"1,815","FY 2013, 4th Q, July 1- Sept. 30, 2013",North Carolina,RAL,2013.0,FY 2013
195,Cincinnati,576,660,40,738,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Ohio,CIN,2013.0,FY 2013
197,Cleveland,862,"1,027",78,"1,058","FY 2013, 4th Q, July 1- Sept. 30, 2013",Ohio,CLE,2013.0,FY 2013
199,Columbus,854,"1,016",74,957,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Ohio,CLM,2013.0,FY 2013
203,Oklahoma City,705,775,78,"1,120","FY 2013, 4th Q, July 1- Sept. 30, 2013",Oklahoma,OKC,2013.0,FY 2013
207,Portland,"1,616","1,847",128,"2,901","FY 2013, 4th Q, July 1- Sept. 30, 2013",Oregon,POO,2013.0,FY 2013
211,Philadelphia,"3,820","3,941",264,"6,722","FY 2013, 4th Q, July 1- Sept. 30, 2013",Pennsylvania,PHI,2013.0,FY 2013
213,Pittsburgh,663,519,26,"1,033","FY 2013, 4th Q, July 1- Sept. 30, 2013",Pennsylvania,PIT,2013.0,FY 2013
217,Providence,646,827,76,830,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Rhode Island,PRO,2013.0,FY 2013
221,Charleston,718,607,44,"1,081","FY 2013, 4th Q, July 1- Sept. 30, 2013",South Carolina,CHS,2013.0,FY 2013
225,Memphis,"1,533","1,781",156,"2,615","FY 2013, 4th Q, July 1- Sept. 30, 2013",Tennessee,MEM,2013.0,FY 2013
229,Dallas,"5,175","5,914",354,"9,807","FY 2013, 4th Q, July 1- Sept. 30, 2013",Texas,DAL,2013.0,FY 2013
231,El Paso,929,"1,548",93,"1,370","FY 2013, 4th Q, July 1- Sept. 30, 2013",Texas,ELP,2013.0,FY 2013
233,Harlingen,785,957,71,"1,353","FY 2013, 4th Q, July 1- Sept. 30, 2013",Texas,HLG,2013.0,FY 2013
235,Houston,"5,757","4,125",448,"9,658","FY 2013, 4th Q, July 1- Sept. 30, 2013",Texas,HOU,2013.0,FY 2013
237,San Antonio,"2,538","4,018",247,"4,020","FY 2013, 4th Q, July 1- Sept. 30, 2013",Texas,SNA,2013.0,FY 2013
241,Salt Lake City,907,972,88,"2,398","FY 2013, 4th Q, July 1- Sept. 30, 2013",Utah,SLC,2013.0,FY 2013
245,St. Albans,142,150, D ,154,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Vermont,STA,2013.0,FY 2013
249,Norfolk,"1,081","1,252",88,"1,650","FY 2013, 4th Q, July 1- Sept. 30, 2013",Virginia,NOR,2013.0,FY 2013
253,Seattle,"3,442","3,845",294,"3,967","FY 2013, 4th Q, July 1- Sept. 30, 2013",Washington,SEA,2013.0,FY 2013
255,Spokane,203,249,24,307,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Washington,SPO,2013.0,FY 2013
257,Yakima,361,527,21,335,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Washington,YAK,2013.0,FY 2013
261,Milwaukee,910,931,117,"1,484","FY 2013, 4th Q, July 1- Sept. 30, 2013",Wisconsin,MIL,2013.0,FY 2013
269,Hagatna,210,188,20,261,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Guam,AGA,2013.0,FY 2013
273,Charlotte Amalie,126,129,18,161,"FY 2013, 4th Q, July 1- Sept. 30, 2013",U.S. Virgin Islands,CHA,2013.0,FY 2013
275,Christiansted,47,49, D ,42,"FY 2013, 4th Q, July 1- Sept. 30, 2013",U.S. Virgin Islands,CHR,2013.0,FY 2013
279,San Juan,751,504,89,"1,402","FY 2013, 4th Q, July 1- Sept. 30, 2013",Puerto Rico,SAJ,2013.0,FY 2013
11,Anchorage,274,174,30,447,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Alaska,ANC,2013.0,FY 2014
15,Phoenix,"2,241","2,463",266,"4,347","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Arizona,PHO,2013.0,FY 2014
17,Tucson,536,638,73,"1,000","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Arizona,TUC,2013.0,FY 2014
21,Fort Smith,202,198,20,387,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Arkansas,FSA,2013.0,FY 2014
25,Chula Vista,"1,362","1,365",88,"1,941","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,CVC,2013.0,FY 2014
27,Fresno,"1,898","1,993",182,"2,931","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,FRE,2013.0,FY 2014
29,Imperial,321,517,66,550,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,IMP,2013.0,FY 2014
31,Los Angeles,"4,185","4,525",408,"8,412","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,LOS,2013.0,FY 2014
33,Los Angeles County,"4,035","4,075",588,"7,351","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,LAC,2013.0,FY 2014
35,Sacramento,"2,521","3,135",256,"3,109","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SAC,2013.0,FY 2014
37,San Bernardino,"2,907","3,466",430,"5,537","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SBD,2013.0,FY 2014
39,San Diego,"1,934","2,372",155,"2,722","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SND,2013.0,FY 2014
41,San Fernando Valley,"3,046","3,110",197,"5,795","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SFV,2013.0,FY 2014
43,San Francisco,"4,704","4,685",369,"8,141","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SFR,2013.0,FY 2014
45,San Jose,"3,116","2,833",252,"4,474","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SNJ,2013.0,FY 2014
47,Santa Ana,"3,136","2,831",192,"6,724","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",California,SAA,2013.0,FY 2014
51,Denver,"1,738","1,348",194,"4,191","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Colorado,DEN,2013.0,FY 2014
55,Hartford,"1,981","2,176",175,"3,997","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Connecticut,HAR,2013.0,FY 2014
59,Dover AFB, -   , -   , -   , -   ,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Delaware,DVD,2013.0,FY 2014
63,Washington,"3,793","3,212",367,"8,252","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",District of Columbia,WAS,2013.0,FY 2014
67,Hialeah,"2,595","2,829",236,"5,320","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,HIA,2013.0,FY 2014
69,Jacksonville,892,940,82,"1,601","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,JAC,2013.0,FY 2014
71,Kendall,"2,638","2,643",211,"4,167","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,KND,2013.0,FY 2014
73,Miami,"2,698","2,644",264,"5,786","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,MIA,2013.0,FY 2014
75,Oakland Park,"2,561","3,345",386,"4,998","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,OKL,2013.0,FY 2014
77,Orlando,"2,136","1,393",259,"4,628","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,ORL,2013.0,FY 2014
79,Tampa,"2,588","2,186",337,"5,007","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,TAM,2013.0,FY 2014
81,West Palm Beach,"1,863","2,026",301,"2,562","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Florida,WPB,2013.0,FY 2014
85,Atlanta,"4,107","3,146",223,"8,808","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Georgia,ATL,2013.0,FY 2014
89,Honolulu,761,810,45,"1,301","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Hawaii,HHW,2013.0,FY 2014
93,Boise,317,261,30,400,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Idaho,BOI,2013.0,FY 2014
97,Chicago,"6,240","6,770",828,"10,064","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Illinois,CHI,2013.0,FY 2014
101,Indianapolis,806,784,111,"1,397","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Indiana,INP,2013.0,FY 2014
105,Des Moines,454,428,67,894,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Iowa,DSM,2013.0,FY 2014
109,Wichita,239,193,49,455,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Kansas,WIC,2013.0,FY 2014
113,Louisville,627,730,101,941,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Kentucky,LOU,2013.0,FY 2014
117,New Orleans,709,560,89,"1,882","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Louisiana,NOL,2013.0,FY 2014
121,Portland,184,221,17,326,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Maine,POO,2013.0,FY 2014
125,Baltimore,"3,784","3,604",312,"9,030","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Maryland,BAL,2013.0,FY 2014
129,Boston,"3,303","2,810",415,"8,505","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Massachusetts,BOS,2013.0,FY 2014
131,Lawrence,"1,403","1,470",137,"2,933","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Massachusetts,LAW,2013.0,FY 2014
135,Detroit,"2,903","2,886",376,"5,000","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Michigan,DET,2013.0,FY 2014
139,St. Paul,"2,429","1,462",245,"4,892","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Minnesota,SPM,2013.0,FY 2014
143,Kansas City,736,673,82,"1,165","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Missouri,KAN,2013.0,FY 2014
145,St. Louis,609,566,45,"1,053","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Missouri,STL,2013.0,FY 2014
149,Helena,62,70, D ,70,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Montana,HEL,2013.0,FY 2014
153,Omaha,558,629,71,736,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Nebraska,OMA,2013.0,FY 2014
157,Las Vegas,"1,523","1,871",169,"2,376","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Nevada,LVG,2013.0,FY 2014
159,Reno,221,330,51,304,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Nevada,REN,2013.0,FY 2014
163,Manchester,297,294,26,458,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New Hampshire,MAN,2013.0,FY 2014
167,Mount Laurel,"1,474","1,400",106,"2,567","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New Jersey,MTL,2013.0,FY 2014
169,Newark,"6,688","4,345",948,"12,255","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New Jersey,NEW,2013.0,FY 2014
173,Albuquerque,349,457,53,469,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New Mexico,ABQ,2013.0,FY 2014
177,Albany,460,410,39,826,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New York,ALB,2013.0,FY 2014
179,Buffalo,765,788,98,"1,625","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New York,BUF,2013.0,FY 2014
181,Long Island,"3,997","3,517",285,"8,786","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New York,LNY,2013.0,FY 2014
183,New York,"10,597","11,601","2,023","24,840","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New York,NYC,2013.0,FY 2014
185,Queens,"3,912","4,003",629,"7,506","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",New York,QNS,2013.0,FY 2014
189,Charlotte,"1,271","1,533",200,"1,655","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",North Carolina,CLT,2013.0,FY 2014
191,Raleigh,"1,144",963,72,"2,067","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",North Carolina,RAL,2013.0,FY 2014
195,Cincinnati,534,549,30,768,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Ohio,CIN,2013.0,FY 2014
197,Cleveland,812,846,74,988,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Ohio,CLE,2013.0,FY 2014
199,Columbus,805,804,92,896,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Ohio,CLM,2013.0,FY 2014
203,Oklahoma City,564,355,40,"1,327","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Oklahoma,OKC,2013.0,FY 2014
207,Portland,"1,502","1,471",110,"2,886","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Oregon,POO,2013.0,FY 2014
211,Philadelphia,"3,329","3,975",356,"5,720","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Pennsylvania,PHI,2013.0,FY 2014
213,Pittsburgh,563,601,31,972,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Pennsylvania,PIT,2013.0,FY 2014
217,Providence,566,462,114,"1,036","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Rhode Island,PRO,2013.0,FY 2014
221,Charleston,604,524,48,"1,315","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",South Carolina,CHS,2013.0,FY 2014
225,Memphis,"1,311","1,295",64,"2,643","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Tennessee,MEM,2013.0,FY 2014
229,Dallas,"4,116","3,867",393,"9,522","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Texas,DAL,2013.0,FY 2014
231,El Paso,901,498,112,"1,680","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Texas,ELP,2013.0,FY 2014
233,Harlingen,685,489,132,"1,426","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Texas,HLG,2013.0,FY 2014
235,Houston,"5,099","7,155",345,"7,701","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Texas,HOU,2013.0,FY 2014
237,San Antonio,"2,173","2,020",303,"3,926","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Texas,SNA,2013.0,FY 2014
241,Salt Lake City,763,"1,268",86,"1,882","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Utah,SLC,2013.0,FY 2014
245,St. Albans,129,94, D ,195,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Vermont,STA,2013.0,FY 2014
249,Norfolk,"1,011","1,045",72,"1,719","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Virginia,NOR,2013.0,FY 2014
253,Seattle,"3,093","2,610",290,"4,188","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Washington,SEA,2013.0,FY 2014
255,Spokane,160,180,21,269,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Washington,SPO,2013.0,FY 2014
257,Yakima,311,271,11,360,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Washington,YAK,2013.0,FY 2014
261,Milwaukee,772,857,119,"1,226","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Wisconsin,MIL,2013.0,FY 2014
269,Hagatna,171,201,16,219,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Guam,AGA,2013.0,FY 2014
273,Charlotte Amalie,90,113,22,126,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",U.S. Virgin Islands,CHA,2013.0,FY 2014
275,Christiansted,59,35, D ,55,"FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",U.S. Virgin Islands,CHR,2013.0,FY 2014
279,San Juan,629,610,78,"1,423","FY 2014, 1st Q, Oct. 1-Dec. 31, 2013",Puerto Rico,SAJ,2013.0,FY 2014
11,Anchorage,297,210,48,533,"FY 2014, 2nd Q, Jan. 1-March 31, 2014",Alaska,ANC,2014.0,FY 2014
15,Phoenix,"3,099","2,580",275,"4,660","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Arizona,PHO,2014.0,FY 2014
17,Tucson,800,660,62,"1,105","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Arizona,TUC,2014.0,FY 2014
21,Fort Smith,312,199,21,481,"FY 2014, 2nd Q, Jan. 1-March 31, 2014",Arkansas,FSA,2014.0,FY 2014
25,Chula Vista,"1,794","1,324",182,"2,176","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,CVC,2014.0,FY 2014
27,Fresno,"2,623","1,705",238,"3,670","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,FRE,2014.0,FY 2014
29,Imperial,357,337,53,546,"FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,IMP,2014.0,FY 2014
31,Los Angeles,"5,390","4,021",389,"8,391","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,LOS,2014.0,FY 2014
33,Los Angeles County,"5,744","3,440",511,"9,307","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,LAC,2014.0,FY 2014
35,Sacramento,"3,398","2,550",241,"3,913","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SAC,2014.0,FY 2014
37,San Bernardino,"4,278","2,368",289,"7,117","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SBD,2014.0,FY 2014
39,San Diego,"2,299","1,785",107,"3,386","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SND,2014.0,FY 2014
41,San Fernando Valley,"4,200","2,580",245,"7,282","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SFV,2014.0,FY 2014
43,San Francisco,"6,088","4,744",297,"9,120","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SFR,2014.0,FY 2014
45,San Jose,"4,091","3,505",248,"4,909","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SNJ,2014.0,FY 2014
47,Santa Ana,"4,042","2,531",296,"7,999","FY 2014, 2nd Q, Jan. 1-March 31, 2014",California,SAA,2014.0,FY 2014
51,Denver,"2,326","1,604",182,"4,808","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Colorado,DEN,2014.0,FY 2014
55,Hartford,"2,575","1,999",227,"4,367","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Connecticut,HAR,2014.0,FY 2014
59,Dover AFB, -   , -   , -   , -   ,"FY 2014, 2nd Q, Jan. 1-March 31, 2014",Delaware,DVD,2014.0,FY 2014
63,Washington,"4,454","2,025",353,"10,093","FY 2014, 2nd Q, Jan. 1-March 31, 2014",District of Columbia,WAS,2014.0,FY 2014
67,Hialeah,"3,370","2,604",311,"5,807","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,HIA,2014.0,FY 2014
69,Jacksonville,"1,179",794,52,"1,943","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,JAC,2014.0,FY 2014
71,Kendall,"3,186","2,567",297,"4,493","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,KND,2014.0,FY 2014
73,Miami,"3,208","2,889",350,"5,727","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,MIA,2014.0,FY 2014
75,Oakland Park,"3,528","3,270",401,"4,851","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,OKL,2014.0,FY 2014
77,Orlando,"2,724","2,637",243,"4,535","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,ORL,2014.0,FY 2014
79,Tampa,"3,247","2,941",292,"5,084","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,TAM,2014.0,FY 2014
81,West Palm Beach,"2,313","1,917",222,"2,793","FY 2014, 2nd Q, Jan. 1-March 31, 2014",Florida,WPB,2014.0,FY 2014
