,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,,,,,
,,, Naturalization1 ,,,, Naturalization (Military)1 ,,,, Total ,,,,,,,,
, Chicago  , CHI ," 7,225 "," 6,109 ", 653 ," 26,920 ", 23 , D , D , 123 ," 7,248 "," 6,112 ", 658 ," 27,043 ",,,,,
 Indiana ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Indianapolis  , INP ," 1,886 "," 1,285 ", 142 ," 3,698 ", D , 13 , -   , 28 ," 1,890 "," 1,298 ", 142 ," 3,726 ",,,,,
 Iowa ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Des Moines , DSM ," 1,030 "," 1,117 ", 135 ," 3,409 ", D , D , D , 21 ," 1,032 "," 1,119 ", 136 ," 3,430 ",,,,,
 Kansas ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Wichita , WIC , 394 , 831 , 49 , 728 , D , D , D , 16 , 398 , 838 , 50 , 744 ,,,,,
 Kentucky ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Louisville  , LOU ," 1,182 "," 1,212 ", 113 ," 2,298 ", D , 36 , D , 49 ," 1,188 "," 1,248 ", 118 ," 2,347 ",,,,,
 Louisiana ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, New Orleans  , NOL , 944 , 914 , 84 ," 3,867 ", 15 , 31 , D , 50 , 959 , 945 , 88 ," 3,917 ",,,,,
 Maine ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Portland  , POM , 296 , 361 , 20 , 514 , -   , D , -   , D , 296 , 365 , 20 , 518 ,,,,,
 Maryland ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Baltimore  , BAL ," 5,006 "," 2,552 ", 189 ," 22,603 ", 11 , 37 , D , 128 ," 5,017 "," 2,589 ", 191 ," 22,731 ",,,,,
 Massachusetts ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Boston  , BOS ," 4,202 "," 4,699 ", 517 ," 9,980 ", 17 , D , -   , 73 ," 4,219 "," 4,702 ", 517 ," 10,053 ",,,,,
, Lawrence , LAW ," 2,739 "," 2,119 ", 329 ," 4,132 ", 10 , D , -   , 29 ," 2,749 "," 2,122 ", 329 ," 4,161 ",,,,,
 Michigan ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Detroit  , DET ," 4,001 "," 3,868 ", 771 ," 9,805 ", D , D , D , 45 ," 4,007 "," 3,870 ", 774 ," 9,850 ",,,,,
 Minnesota ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, St. Paul  , SPM ," 3,833 "," 2,730 ", 254 ," 17,504 ", 18 , 24 , D , 118 ," 3,851 "," 2,754 ", 255 ," 17,622 ",,,,,
 Missouri ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Kansas City  , KAN ," 1,110 "," 1,175 ", 133 ," 2,116 ", D , 50 , -   , 63 ," 1,119 "," 1,225 ", 133 ," 2,179 ",,,,,
, St. Louis  , STL , 764 , 830 , 113 ," 1,961 ", -   , D , -   , D , 764 , 839 , 113 ," 1,970 ",,,,,
 Montana ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Helena  , HEL , 120 , 93 , D , 190 , D , D , -   , D , 122 , 96 , D , 195 ,,,,,
 Nebraska ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Omaha  , OMA ," 1,140 "," 1,169 ", 154 ," 2,364 ", D , 10 , D , 18 ," 1,145 "," 1,179 ", 155 ," 2,382 ",,,,,
 Nevada ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Las Vegas  , LVG ," 2,015 "," 1,066 ", 158 ," 8,966 ", D , 11 , D , 22 ," 2,020 "," 1,077 ", 160 ," 8,988 ",,,,,
, Reno  , REN , 334 , 436 , 41 , 849 , -   , D , -   , D , 334 , 439 , 41 , 850 ,,,,,
 New Hampshire ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Manchester  , MAN , 443 , 370 , 18 , 692 , D , -   , -   , D , 444 , 370 , 18 , 699 ,,,,,
 New Jersey ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Mount Laurel , MTL ," 2,048 "," 2,178 ", 218 ," 4,621 ", D , D , D , 30 ," 2,054 "," 2,179 ", 219 ," 4,651 ",,,,,
, Newark  , NEW ," 8,667 "," 8,488 ", 798 ," 25,643 ", 14 , 16 , D , 111 ," 8,681 "," 8,504 ", 800 ," 25,754 ",,,,,
 New Mexico ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Albuquerque  , ABQ , 549 , 558 , 40 ," 1,093 ", D , 10 , -   , D , 552 , 568 , 40 ," 1,102 ",,,,,
 New York ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Albany  , ALB , 425 , 50 , 22 ," 1,271 ", -   , D , D , 22 , 425 , 51 , 23 ," 1,293 ",,,,,
, Brooklyn , BNY ," 5,572 "," 3,494 ", 726 ," 26,968 ", D , D , -   , 60 ," 5,576 "," 3,503 ", 726 ," 27,028 ",,,,,
, Buffalo  , BUF ," 1,730 "," 1,587 ", 183 ," 3,435 ", 11 , 40 , -   , 91 ," 1,741 "," 1,627 ", 183 ," 3,526 ",,,,,
, Long Island , LNY ," 3,955 "," 3,936 ", 629 ," 8,090 ", D , D , -   , 54 ," 3,963 "," 3,937 ", 629 ," 8,144 ",,,,,
, New York  , NYC ," 7,439 "," 6,858 ", 908 ," 30,451 ", D , 12 , D , 120 ," 7,448 "," 6,870 ", 910 ," 30,571 ",,,,,
, Queens , QNS ," 6,598 "," 6,796 "," 1,189 "," 25,164 ", 13 , 25 , D , 108 ," 6,611 "," 6,821 "," 1,192 "," 25,272 ",,,,,
 North Carolina ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Charlotte  , CLT ," 2,124 "," 1,355 ", 260 ," 5,710 ", D , D , -   , 21 ," 2,126 "," 1,359 ", 260 ," 5,731 ",,,,,
, Raleigh , RAL ," 1,925 "," 1,733 ", 109 ," 4,108 ", 20 , 25 , D , 186 ," 1,945 "," 1,758 ", 110 ," 4,294 ",,,,,
 Ohio ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Cincinnati  , CIN , 864 , 745 , 75 ," 1,506 ", D , D , -   , 22 , 865 , 752 , 75 ," 1,528 ",,,,,
, Cleveland  , CLE ," 1,190 "," 1,139 ", 96 ," 1,959 ", D , D , -   , 23 ," 1,193 "," 1,145 ", 96 ," 1,982 ",,,,,
, Columbus , CLM ," 1,607 "," 1,533 ", 85 ," 3,247 ", D , 13 , -   , 25 ," 1,608 "," 1,546 ", 85 ," 3,272 ",,,,,
 Oklahoma ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Oklahoma City  , OKC ," 1,017 ", 966 , 122 ," 2,197 ", D , -   , 10 , 166 ," 1,026 ", 966 , 132 ," 2,363 ",,,,,
 Oregon ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Portland  , POO ," 2,236 "," 2,581 ", 155 ," 4,377 ", D , D , -   , 10 ," 2,238 "," 2,590 ", 155 ," 4,387 ",,,,,
 Pennsylvania ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Philadelphia , PHI ," 4,984 "," 4,948 ", 496 ," 16,911 ", 11 , 28 , D , 87 ," 4,995 "," 4,976 ", 503 ," 16,998 ",,,,,
, Pittsburgh  , PIT , 723 , 848 , 48 ," 1,593 ", D , D , -   , 13 , 724 , 852 , 48 ," 1,606 ",,,,,
 Rhode Island ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Providence  , PRO , 874 ," 1,085 ", 131 ," 1,475 ", D , D , -   , 10 , 880 ," 1,088 ", 131 ," 1,485 ",,,,,
 South Carolina ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Charleston  , CHL , 632 , 746 , 64 , 931 , 11 , D , 14 , 122 , 643 , 749 , 78 ," 1,053 ",,,,,
, Greer , GRR , 457 , 469 , 50 , 875 , -   , D , D , 64 , 457 , 470 , 51 , 939 ,,,,,
 Tennessee ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Memphis  , MEM , 626 ," 2,119 ", 113 ," 3,863 ", D , 47 , -   , 45 , 629 ," 2,166 ", 113 ," 3,908 ",,,,,
, Nashville , NTN ," 1,313 ", -   , D ," 4,357 ", D , -   , -   , D ," 1,320 ", -   , D ," 4,365 ",,,,,
 Texas ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Dallas  , DAL ," 6,732 "," 5,620 ", 492 ," 38,568 ", 22 , 15 , D , 193 ," 6,754 "," 5,635 ", 494 ," 38,761 ",,,,,
, El Paso  , ELP ," 1,570 "," 1,528 ", 229 ," 6,502 ", D , 17 , D , 137 ," 1,577 "," 1,545 ", 230 ," 6,639 ",,,,,
, Harlingen  , HLG , 941 ," 1,143 ", 148 ," 5,111 ", D , D , -   , 18 , 946 ," 1,147 ", 148 ," 5,129 ",,,,,
, Houston  , HOU ," 7,247 "," 6,595 ", 415 ," 44,511 ", 11 , 22 , D , 114 ," 7,258 "," 6,617 ", 417 ," 44,625 ",,,,,
, San Antonio  , SNA ," 3,740 "," 2,674 ", 321 ," 12,091 ", 33 , 121 , 15 , 227 ," 3,773 "," 2,795 ", 336 ," 12,318 ",,,,,
 Utah ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Salt Lake City  , SLC ," 1,199 ", 786 , 55 ," 5,883 ", D , 11 , -   , 33 ," 1,204 ", 797 , 55 ," 5,916 ",,,,,
 Vermont ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, St. Albans  , STA , 189 , 190 , D , 340 , D , -   , D , D , 190 , 190 , D , 342 ,,,,,
 Virginia ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Norfolk  , NOR ," 1,304 "," 1,597 ", 109 ," 3,994 ", 27 , 18 , D , 358 ," 1,331 "," 1,615 ", 111 ," 4,352 ",,,,,
 Washington ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Seattle  , SEA ," 4,288 "," 2,106 ", 229 ," 20,502 ", 30 , 116 , D , 194 ," 4,318 "," 2,222 ", 232 ," 20,696 ",,,,,
, Spokane  , SPO , 303 , 417 , 25 , 419 , D , D , -   , D , 307 , 421 , 25 , 425 ,,,,,
, Yakima , YAK , 578 , 471 , 25 , 801 , D , D , -   , D , 580 , 474 , 25 , 802 ,,,,,
 West Virginia ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Charleston  , CHS ,  , -   , -   , D ,  , -   , -   , -   ,, -   , -   , D ,,,,,
 Wisconsin ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Milwaukee  , MIL ," 1,131 "," 1,139 ", 138 ," 3,958 ", D , D , -   , 21 ," 1,132 "," 1,142 ", 138 ," 3,979 ",,,,,
 Field Office by Territory6 ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
 Guam ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Agana , AGA , 264 , 292 , 15 , 414 , D , D , D , 11 , 268 , 295 , 18 , 425 ,,,,,
 U.S. Virgin Islands ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Charlotte Amalie , CHA , 120 , 99 , 20 , 360 , -   , -   , -   , D , 120 , 99 , 20 , 364 ,,,,,
, Christiansted  , CHR , 41 , 54 , -   , 196 , -   , -   , -   , -   , 41 , 54 , -   , 196 ,,,,,
 Puerto Rico ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, San Juan  , SAJ , 477 , 480 , 132 ," 1,278 ", -   , -   , -   , -   , 477 , 480 , 132 ," 1,278 ",,,,,
,,,,,,,,,,,,,,,,,,,
 D  Data withheld to protect applicants' privacy. ,,,,,,,,,,,,,,,,,,,
 - Represents zero. ,,,,,,,,,,,,,,,,,,,
" 1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" ",,,,,,,,,,,,,,,,,,,
  Total includes both general and military naturalization.  ,,,,,,,,,,,,,,,,,,,
 2  The number of new applications received and entered into a case-tracking system during the reporting period. ,,,,,,,,,,,,,,,,,,,
 3  The number of applications approved during the reporting period. ,,,,,,,,,,,,,,,,,,,
" 4  The number of applications that were denied, terminated, or withdrawn during the reporting period. ",,,,,,,,,,,,,,,,,,,
 5  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,,,,,,,,
 6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions. ,,,,,,,,,,,,,,,,,,,
" NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods.  ",,,,,,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated. ,,,,,,,,,,,,,,,,,,,
" Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), accessed July 2018. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,
 ,,,,,,,,,,,,,,,,,,,
Total,,, N/A , N/A , N/A , N/A , 119 , 49 , -   , 115 , 119 , 49 , -   , 115 ,,,,,
International Field Office by Country,,,,,,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,,,,,,
,Beijing,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
,Guangzhou,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Cuba,,,,,,,,,,,,,,,,,,,
,Havana,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,
,Santo Domingo,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,
,San Salvador,, N/A , N/A , N/A , N/A , D , D , -   , -   , D , D , -   , -   ,,,,,
Germany,,,,,,,,,,,,,,,,,,,
,Frankfurt,, N/A , N/A , N/A , N/A ,52,28, -   ,43, 52 , 28 , -   , 43 ,,,,,
Ghana,,,,,,,,,,,,,,,,,,,
,Accra,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Greece,,,,,,,,,,,,,,,,,,,
,Athens,, N/A , N/A , N/A , N/A ,13,D, -   ,15, 13 , D , -   , 15 ,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,
,Guatemala City,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Haiti,,,,,,,,,,,,,,,,,,,
,Port-au-Prince,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
India,,,,,,,,,,,,,,,,,,,
,New Delhi,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Italy,,,,,,,,,,,,,,,,,,,
,Rome,, N/A , N/A , N/A , N/A ,18, D , -   ,10, 18 , D , -   , 10 ,,,,,
Jordan,,,,,,,,,,,,,,,,,,,
,Amman,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Kenya,,,,,,,,,,,,,,,,,,,
,Nairobi,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Mexico,,,,,,,,,,,,,,,,,,,
,Ciudad Juarez,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
,Mexico City,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
,Monterrey,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Peru,,,,,,,,,,,,,,,,,,,
,Lima,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Philippines,,,,,,,,,,,,,,,,,,,
,Manila,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Russia,,,,,,,,,,,,,,,,,,,
,Moscow,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
South Africa,,,,,,,,,,,,,,,,,,,
,Johannesburg,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
South Korea,,,,,,,,,,,,,,,,,,,
,Seoul,, N/A , N/A , N/A , N/A ,31,15, -   ,40, 31 , 15 , -   , 40 ,,,,,
Thailand,,,,,,,,,,,,,,,,,,,
,Bangkok,, N/A , N/A , N/A , N/A , -   , -   , -   , D , -   , -   , -   , D ,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,London,, N/A , N/A , N/A , N/A ,D,0, -   ,D, D , -   , -   , D ,,,,,
,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization."" International USCIS field offices ",,,,,,,,,,,,,,,,,,,
 only accept N-400s from applicants whose eligibility relies on service in the U.S. armed forces. Total includes both general and military naturalization. ,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), accessed July 2018; Department of Homeland Security, U.S. Citizenship and Immigration Services, ",,,,,,,,,,,,,,,,,,,
"CAMINO, accessed July 2018.",,,,,,,,,,,,,,,,,,,
