,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
District of Columbia,,, , , , , , , , , , , , ,,,,,,,,,,
,Washington ,WAS,"4,921","8,499",561,"18,127",19,14,D,64,"4,940","8,513",566,"18,191",,,,,,,,,,
Florida,,, , , , , , , , , , , , ,,,,,,,,,,
,Fort Meyers,OFM,"1,327",764,93,"4,620",D,0,0,D,"1,329",764,93,"4,624",,,,,,,,,,
,Hialeah,HIA,"3,473","3,357",497,"12,510",D,D,D,13,"3,480","3,358",499,"12,523",,,,,,,,,,
,Jacksonville,JAC,"1,419","1,389",133,"3,843",D,D,D,13,"1,428","1,398",134,"3,856",,,,,,,,,,
,Kendall,KND,"2,371","3,542",349,"10,778",D,D,0,15,"2,376","3,543",349,"10,793",,,,,,,,,,
,Miami ,MIA,"5,839","1,227",228,"18,756",D,D,D,D,"5,843","1,234",229,"18,761",,,,,,,,,,
,Oakland Park,OKL,"3,455","2,171",288,"14,740",D,D,D,25,"3,464","2,172",290,"14,765",,,,,,,,,,
,Orlando ,ORL,"3,343","2,684",492,"11,107",12,D,0,26,"3,355","2,685",492,"11,133",,,,,,,,,,
,Tampa ,TAM,"3,146","2,330",342,"11,430",D,D,0,36,"3,155","2,333",342,"11,466",,,,,,,,,,
,West Palm Beach,WPB,"2,552","1,955",488,"8,449",14,D,0,20,"2,566","1,956",488,"8,469",,,,,,,,,,
Georgia,,, , , , , , , , , , , , ,,,,,,,,,,
,Atlanta ,ATL,"5,898","4,336",575,"21,475",239,276,40,332,"6,137","4,612",615,"21,807",,,,,,,,,,
Hawaii,,, , , , , , , , , , , , ,,,,,,,,,,
,Honolulu ,HHW,"1,093","1,049",109,"2,895",28,15,D,45,"1,121","1,064",113,"2,940",,,,,,,,,,
Idaho,,, , , , , , , , , , , , ,,,,,,,,,,
,Boise ,BOI,616,632,44,"1,255",D,D,0,D,623,633,44,"1,262",,,,,,,,,,
Illinois,,, , , , , , , , , , , , ,,,,,,,,,,
,Chicago ,CHI,"9,474","7,260",697,"25,474",449,147,65,88,"9,923","7,407",762,"25,562",,,,,,,,,,
Indiana,,, , , , , , , , , , , , ,,,,,,,,,,
,Indianapolis ,INP,"1,701","1,766",142,"3,962",11,D,D,15,"1,712","1,769",143,"3,977",,,,,,,,,,
Iowa,,, , , , , , , , , , , , ,,,,,,,,,,
,Des Moines,DSM,986,571,66,"3,498",D,D,0,13,994,574,66,"3,511",,,,,,,,,,
Kansas,,, , , , , , , , , , , , ,,,,,,,,,,
,Wichita,WIC,505,337,46,"1,149",D,0,0,D,512,337,46,"1,156",,,,,,,,,,
Kentucky,,, , , , , , , , , , , , ,,,,,,,,,,
,Louisville ,LOU,"1,109","1,220",142,"2,499",D,16,D,14,"1,116","1,236",144,"2,513",,,,,,,,,,
Louisiana,,, , , , , , , , , , , , ,,,,,,,,,,
,New Orleans ,NOL,"1,097",633,118,"3,808",16,24,0,38,"1,113",657,118,"3,846",,,,,,,,,,
Maine,,, , , , , , , , , , , , ,,,,,,,,,,
,Portland ,POM,304,310,D,731,D,D,0,D,306,311,D,735,,,,,,,,,,
Maryland,,, , , , , , , , , , , , ,,,,,,,,,,
,Baltimore ,BAL,"5,734","5,036",265,"16,631",48,11,D,74,"5,782","5,047",266,"16,705",,,,,,,,,,
Massachusetts,,, , , , , , , , , , , , ,,,,,,,,,,
,Boston ,BOS,"5,218","3,543",292,"16,042",13,D,D,36,"5,231","3,544",293,"16,078",,,,,,,,,,
,Lawrence,LAW,"2,284","1,846",350,"6,346",10,0,0,19,"2,294","1,846",350,"6,365",,,,,,,,,,
Michigan,,, , , , , , , , , , , , ,,,,,,,,,,
,Detroit ,DET,"4,072","3,742",509,"10,789",14,D,D,25,"4,086","3,743",510,"10,814",,,,,,,,,,
Minnesota,,, , , , , , , , , , , , ,,,,,,,,,,
,St. Paul ,SPM,"3,952","2,547",205,"13,753",22,D,0,52,"3,974","2,552",205,"13,805",,,,,,,,,,
Missouri,,, , , , , , , , , , , , ,,,,,,,,,,
,Kansas City ,KAN,"1,306","1,585",162,"2,839",18,D,0,102,"1,324","1,593",162,"2,941",,,,,,,,,,
,St. Louis ,STL,845,703,86,"3,053",D,D,0,28,849,705,86,"3,081",,,,,,,,,,
Montana,,, , , , , , , , , , , , ,,,,,,,,,,
,Helena ,HEL,110,93,D,187,D,0,0,D,112,93,D,189,,,,,,,,,,
Nebraska,,, , , , , , , , , , , , ,,,,,,,,,,
,Omaha ,OMA,"1,113",848,239,"2,405",D,D,0,10,"1,119",849,239,"2,415",,,,,,,,,,
Nevada,,, , , , , , , , , , , , ,,,,,,,,,,
,Las Vegas ,LVG,"2,291","1,593",170,"8,869",D,D,0,18,"2,296","1,598",170,"8,887",,,,,,,,,,
,Reno ,REN,434,322,44,"1,266",0,0,0,0,434,322,44,"1,266",,,,,,,,,,
New Hampshire,,, , , , , , , , , , , , ,,,,,,,,,,
,Manchester ,MAN,481,574,57,"1,024",D,0,0,D,482,574,57,"1,030",,,,,,,,,,
New Jersey,,, , , , , , , , , , , , ,,,,,,,,,,
,Mount Laurel,MTL,"2,265","2,123",167,"6,837",D,D,0,14,"2,272","2,124",167,"6,851",,,,,,,,,,
,Newark ,NEW,"9,676","11,042",721,"29,231",39,18,D,74,"9,715","11,060",723,"29,305",,,,,,,,,,
New Mexico,,, , , , , , , , , , , , ,,,,,,,,,,
,Albuquerque ,ABQ,669,564,62,"1,576",D,D,0,D,672,566,62,"1,583",,,,,,,,,,
New York,,, , , , , , , , , , , , ,,,,,,,,,,
,Albany ,ALB,747,823,87,"1,878",D,0,0,16,753,823,87,"1,894",,,,,,,,,,
,Brooklyn,BNY,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,Buffalo ,BUF,"1,503","1,848",215,"3,014",13,17,0,33,"1,516","1,865",215,"3,047",,,,,,,,,,
,Long Island,LNY,"6,541","4,612",355,"22,830",34,20,D,46,"6,575","4,632",358,"22,876",,,,,,,,,,
,New York ,NYC,"16,509","13,575","1,798","55,684",52,38,D,93,"16,561","13,613","1,801","55,777",,,,,,,,,,
,Queens,QNS,"5,912","4,826",382,"18,915",27,D,0,38,"5,939","4,833",382,"18,953",,,,,,,,,,
North Carolina,,, , , , , , , , , , , , ,,,,,,,,,,
,Charlotte ,CLT,"2,129","1,586",128,"6,504",D,D,0,17,"2,135","1,588",128,"6,521",,,,,,,,,,
,Raleigh,RAL,"1,754","2,147",131,"4,046",19,28,D,74,"1,773","2,175",133,"4,120",,,,,,,,,,
Ohio,,, , , , , , , , , , , , ,,,,,,,,,,
,Cincinnati ,CIN,814,887,57,"1,678",D,D,0,18,820,895,57,"1,696",,,,,,,,,,
,Cleveland ,CLE,"1,217","1,335",144,"2,432",10,D,0,13,"1,227","1,342",144,"2,445",,,,,,,,,,
,Columbus,CLM,"1,565","2,209",127,"3,153",D,D,0,15,"1,572","2,215",127,"3,168",,,,,,,,,,
Oklahoma,,, , , , , , , , , , , , ,,,,,,,,,,
,Oklahoma City ,OKC,"1,040",857,75,"3,284",323,176,D,354,"1,363","1,033",76,"3,638",,,,,,,,,,
Oregon,,, , , , , , , , , , , , ,,,,,,,,,,
,Portland ,POO,"2,424","1,992",154,"5,928",D,D,0,17,"2,433","1,996",154,"5,945",,,,,,,,,,
Pennsylvania,,, , , , , , , , , , , , ,,,,,,,,,,
,Philadelphia,PHI,"5,218","3,283",333,"18,658",28,D,0,61,"5,246","3,289",333,"18,719",,,,,,,,,,
,Pittsburgh ,PIT,734,942,70,"1,848",D,D,0,15,740,944,70,"1,863",,,,,,,,,,
Rhode Island,,, , , , , , , , , , , , ,,,,,,,,,,
,Providence ,PRO,"1,030","1,016",177,"1,985",D,D,D,D,"1,034","1,019",178,"1,993",,,,,,,,,,
South Carolina,,, , , , , , , , , , , , ,,,,,,,,,,
,Charleston ,CHL,717,823,92,"1,538",163,119,11,209,880,942,103,"1,747",,,,,,,,,,
,Greer,GRR,469,486,42,888,574,469,50,497,"1,043",955,92,"1,385",,,,,,,,,,
Tennessee,,, , , , , , , , , , , , ,,,,,,,,,,
,Memphis ,MEM,"2,039","1,335",69,"7,312",19,0,0,34,"2,058","1,335",69,"7,346",,,,,,,,,,
Texas,,, , , , , , , , , , , , ,,,,,,,,,,
,Dallas ,DAL,"7,602","3,931",408,"30,392",67,18,D,110,"7,669","3,949",413,"30,502",,,,,,,,,,
,El Paso ,ELP,"2,236","1,151",142,"6,934",D,D,D,28,"2,245","1,159",145,"6,962",,,,,,,,,,
,Harlingen ,HLG,"1,823","1,281",160,"5,216",D,D,0,11,"1,831","1,283",160,"5,227",,,,,,,,,,
,Houston ,HOU,"8,404","3,428",502,"33,233",45,D,D,59,"8,449","3,437",504,"33,292",,,,,,,,,,
,San Antonio ,SNA,"4,453","3,764",489,"12,731",283,263,D,781,"4,736","4,027",495,"13,512",,,,,,,,,,
Utah,,, , , , , , , , , , , , ,,,,,,,,,,
,Salt Lake City ,SLC,"1,572",930,82,"4,772",13,D,0,18,"1,585",936,82,"4,790",,,,,,,,,,
Vermont,,, , , , , , , , , , , , ,,,,,,,,,,
,St. Albans ,STA,201,251,15,472,D,0,0,D,202,251,15,473,,,,,,,,,,
Virginia,,, , , , , , , , , , , , ,,,,,,,,,,
,Norfolk ,NOR,"1,378","1,261",119,"4,460",31,130,D,725,"1,409","1,391",120,"5,185",,,,,,,,,,
Washington,,, , , , , , , , , , , , ,,,,,,,,,,
,Seattle ,SEA,"4,711","2,443",282,"14,430",28,20,D,129,"4,739","2,463",286,"14,559",,,,,,,,,,
,Spokane ,SPO,299,234,17,611,D,D,0,D,301,239,17,614,,,,,,,,,,
,Yakima,YAK,613,555,104,"1,087",0,0,0,D,613,555,104,"1,088",,,,,,,,,,
West Virginia,,, , , , , , , , , , , , ,,,,,,,,,,
,Charleston ,CHS,D,0,0,D,0,0,0,0,D,0,0,D,,,,,,,,,,
Wisconsin,,, , , , , , , , , , , , ,,,,,,,,,,
,Milwaukee ,MIL,"1,241",936,127,"3,812",D,D,D,D,"1,244",940,130,"3,821",,,,,,,,,,
Field Office by Territory6,,, , , , , , , , , , , , ,,,,,,,,,,
,,, , , , , , , , , , , , ,,,,,,,,,,
Guam,,, , , , , , , , , , , , ,,,,,,,,,,
,Hagatna,AGA,252,237,10,659,D,D,0,D,255,238,10,663,,,,,,,,,,
U.S. Virgin Islands,,, , , , , , , , , , , , ,,,,,,,,,,
,Charlotte Amalie,CHA,108,69,14,252,D,0,D,D,109,69,15,254,,,,,,,,,,
,Christiansted ,CHR,69,50,D,194,D,D,0,D,70,51,D,195,,,,,,,,,,
Puerto Rico,,, , , , , , , , , , , , ,,,,,,,,,,
,San Juan ,SAJ,716,745,131,"2,253",D,0,0,D,718,745,131,"2,255",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization.""",,,,,,,,,,,,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool,  July 2018",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,, N/A , N/A , N/A , N/A , 121 , 120 , -   , 76 , 121 , 120 , -   , 76 ,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,,,,,,,,,,,
,Beijing,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
,Guangzhou,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,
,Havana,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,
,Santo Domingo,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,
,San Salvador,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,
,Frankfurt,, N/A , N/A , N/A , N/A ,42,28, -   ,29, 42 , 28 , -   , 29 ,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,
,Accra,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,
,Athens,, N/A , N/A , N/A , N/A ,5,5, -   ,1, 5 , 5 , -   , 1 ,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,
,Guatemala City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,
,Port-au-Prince,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,
,New Delhi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,
,Rome,, N/A , N/A , N/A , N/A ,13, 3 , -   ,12, 13 , 3 , -   , 12 ,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,
,Amman,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,
,Nairobi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,
,Ciudad Juarez,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
,Mexico City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
,Monterrey,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
,Lima,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,
,Manila,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,
,Moscow,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,
,Johannesburg,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,
,Seoul,, N/A , N/A , N/A , N/A ,57,81, -   ,32, 57 , 81 , -   , 32 ,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,
,Bangkok,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   ,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
,London,, N/A , N/A , N/A , N/A ,4,3, -   ,2, 4 , 3 , -   , 2 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization."" International USCIS field offices ",,,,,,,,,,,,,,,,,,,,,,,,
 only accept N-400s from applicants whose eligibility relies on service in the U.S. armed forces. Total includes both general and military naturalization. ,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT),  July 2018; Department of Homeland Security, U.S. Citizenship and Immigration Services, ",,,,,,,,,,,,,,,,,,,,,,,,
"CAMINO, July 2018.",,,,,,,,,,,,,,,,,,,,,,,,
